family	concurrency	phase	arm	rep	ops_per_sec	mib_per_sec	p50_ms	p90_ms	p99_ms	request_errors	case_errors	ops	queue_bytes	error_detail
leaf-misses	1	get-miss	after	3	939.4	0.13	1.011	1.167	2.346	0	0	512	1073741824	{}
leaf-misses	1	mixed	after	3	674.06	324.66	0.858	2.111	19.263	0	0	512	1073741824	{}
leaf-misses	8	put	after	3	15520.42	9303.11	0.355	0.902	3.838	0	0	512	1073741824	{}
leaf-misses	8	get	after	3	1379.52	826.9	0.307	12.036	95.284	0	0	512	1073741824	{}
leaf-misses	8	head-hit	after	3	7836.24	0.0	0.08	1.264	14.775	0	0	512	1073741824	{}
leaf-misses	8	head-miss	after	3	3432.76	0.0	1.486	4.284	11.118	0	0	512	1073741824	{}
leaf-misses	8	get-miss	after	3	3434.16	0.49	1.508	4.33	13.584	0	0	512	1073741824	{}
leaf-misses	8	mixed	after	3	564.62	271.95	2.905	29.906	163.244	0	0	512	1073741824	{}
leaf-misses	32	put	after	3	3213.17	1849.82	1.633	2.38	8.843	0	0	768	1073741824	{}
leaf-misses	32	get	after	3	1321.5	760.79	1.172	9.887	230.237	0	0	768	1073741824	{}
leaf-misses	32	head-hit	after	3	6162.32	0.0	0.09	7.197	34.086	0	0	768	1073741824	{}
leaf-misses	32	head-miss	after	3	2421.87	0.0	11.431	22.061	41.915	0	0	768	1073741824	{}
leaf-misses	32	get-miss	after	3	2615.28	0.37	9.542	22.853	65.858	0	0	768	1073741824	{}
leaf-misses	32	mixed	after	3	500.62	232.12	8.104	107.734	671.051	0	0	768	1073741824	{}
leaf-misses	64	put	after	3	13009.75	7798.19	4.155	5.496	21.296	0	0	1536	1073741824	{}
leaf-misses	64	get	after	3	1408.3	844.15	1.769	5.541	589.789	0	0	1536	1073741824	{}
leaf-misses	64	head-hit	after	3	14666.38	0.0	0.049	14.104	42.304	0	0	1536	1073741824	{}
leaf-misses	64	head-miss	after	3	2282.2	0.0	25.668	43.455	53.998	0	0	1536	1073741824	{}
leaf-misses	64	get-miss	after	3	1829.49	0.26	26.9	54.585	153.069	0	0	1536	1073741824	{}
leaf-misses	64	mixed	after	3	823.21	397.24	2.497	120.384	726.814	0	0	1536	1073741824	{}
leaf-misses	128	put	after	3	9539.73	5718.22	8.604	13.045	42.993	0	0	3072	1073741824	{}
leaf-misses	128	get	after	3	5957.61	3571.06	4.27	16.182	228.849	0	0	3072	1073741824	{}
leaf-misses	128	head-hit	after	3	13554.61	0.0	0.041	23.197	91.311	0	0	3072	1073741824	{}
leaf-misses	128	head-miss	after	3	2568.47	0.0	48.915	59.716	73.235	0	0	3072	1073741824	{}
leaf-misses	128	get-miss	after	3	2327.6	0.33	52.937	66.969	101.0	0	0	3072	1073741824	{}
leaf-misses	128	mixed	after	3	2013.48	966.28	5.56	111.394	446.396	0	0	3072	1073741824	{}
leaf-misses	256	put	after	3	9446.54	5662.36	21.444	29.617	126.921	0	0	6144	1073741824	{}
leaf-misses	256	get	after	3	8063.3	4833.23	4.974	48.808	344.888	0	0	6144	1073741824	{}
leaf-misses	256	head-hit	after	3	21737.35	0.0	0.099	43.222	75.452	0	0	6144	1073741824	{}
leaf-misses	256	head-miss	after	3	2640.63	0.0	98.342	114.649	133.274	0	0	6144	1073741824	{}
leaf-misses	256	get-miss	after	3	2167.32	0.31	116.197	152.224	214.663	0	0	6144	1073741824	{}
leaf-misses	256	mixed	after	3	3069.0	1469.14	26.056	172.582	889.746	0	0	6144	1073741824	{}
